{ heapUsed: 180545856, heapTotal: 187494400, rss: 270565376, now: 1711316985093 }
{ heapUsed: 181013992, heapTotal: 187756544, rss: 270823424, now: 1711316990094 }
{ heapUsed: 181533912, heapTotal: 188280832, rss: 271151104, now: 1711316995103 }
{ heapUsed: 181693392, heapTotal: 188280832, rss: 271429632, now: 1711317000116 }
{ heapUsed: 181819784, heapTotal: 188280832, rss: 271470592, now: 1711317005125 }
{ heapUsed: 182034928, heapTotal: 188280832, rss: 271695872, now: 1711317010127 }
{ heapUsed: 181733296, heapTotal: 189329408, rss: 272887808, now: 1711317015134 }
{ heapUsed: 181971432, heapTotal: 189329408, rss: 273256448, now: 1711317020138 }
{ heapUsed: 182191112, heapTotal: 189329408, rss: 273780736, now: 1711317025138 }
{ heapUsed: 181615568, heapTotal: 189329408, rss: 273256448, now: 1711317030149 }
{ heapUsed: 181741752, heapTotal: 189329408, rss: 273379328, now: 1711317035164 }
{ heapUsed: 181914152, heapTotal: 189329408, rss: 273596416, now: 1711317040177 }
{ heapUsed: 182111200, heapTotal: 189329408, rss: 273797120, now: 1711317045180 }
{ heapUsed: 182337608, heapTotal: 189329408, rss: 273559552, now: 1711317050220 }
{ heapUsed: 182555928, heapTotal: 189329408, rss: 273788928, now: 1711317055230 }
{ heapUsed: 182716264, heapTotal: 189329408, rss: 273956864, now: 1711317060238 }
{ heapUsed: 182008128, heapTotal: 188542976, rss: 273276928, now: 1711317065239 }
{ heapUsed: 182079648, heapTotal: 188542976, rss: 273350656, now: 1711317070244 }
{ heapUsed: 182228560, heapTotal: 188542976, rss: 273498112, now: 1711317075249 }
{ heapUsed: 182521368, heapTotal: 188542976, rss: 273793024, now: 1711317080264 }
{ heapUsed: 182693960, heapTotal: 188542976, rss: 274046976, now: 1711317085268 }
{ heapUsed: 182218560, heapTotal: 188805120, rss: 273379328, now: 1711317090277 }
{ heapUsed: 181509496, heapTotal: 188805120, rss: 272621568, now: 1711317095283 }
{ heapUsed: 181754624, heapTotal: 188805120, rss: 272814080, now: 1711317100294 }
{ heapUsed: 181960168, heapTotal: 188805120, rss: 272986112, now: 1711317105309 }
{ heapUsed: 182193816, heapTotal: 188805120, rss: 273170432, now: 1711317110321 }
{ heapUsed: 182354832, heapTotal: 188805120, rss: 273387520, now: 1711317115334 }
{ heapUsed: 182539944, heapTotal: 188805120, rss: 273682432, now: 1711317120344 }
{ heapUsed: 182108128, heapTotal: 189067264, rss: 273219584, now: 1711317125357 }
{ heapUsed: 182310752, heapTotal: 189067264, rss: 273395712, now: 1711317130371 }
{ heapUsed: 182467000, heapTotal: 189067264, rss: 273498112, now: 1711317135383 }
{ heapUsed: 182690144, heapTotal: 189067264, rss: 273936384, now: 1711317140388 }
{ heapUsed: 182039800, heapTotal: 189067264, rss: 273272832, now: 1711317145391 }
{ heapUsed: 182091952, heapTotal: 189067264, rss: 273334272, now: 1711317150398 }
{ heapUsed: 182304832, heapTotal: 189067264, rss: 272830464, now: 1711317155400 }
{ heapUsed: 182435608, heapTotal: 189067264, rss: 272969728, now: 1711317160411 }
{ heapUsed: 182637616, heapTotal: 189067264, rss: 273219584, now: 1711317165412 }
{ heapUsed: 182842552, heapTotal: 189067264, rss: 273432576, now: 1711317170422 }
{ heapUsed: 182280904, heapTotal: 190115840, rss: 273903616, now: 1711317175423 }
{ heapUsed: 182376296, heapTotal: 190115840, rss: 273997824, now: 1711317180425 }
{ heapUsed: 182644000, heapTotal: 190115840, rss: 274337792, now: 1711317185433 }
{ heapUsed: 182733848, heapTotal: 190115840, rss: 274432000, now: 1711317190435 }
{ heapUsed: 182923024, heapTotal: 190115840, rss: 274628608, now: 1711317195444 }
{ heapUsed: 183110992, heapTotal: 190115840, rss: 274837504, now: 1711317200456 }
{ heapUsed: 183299680, heapTotal: 190115840, rss: 275038208, now: 1711317205461 }
{ heapUsed: 182669728, heapTotal: 190377984, rss: 274415616, now: 1711317210472 }
{ heapUsed: 182790712, heapTotal: 190377984, rss: 159121408, now: 1711317215485 }
{ heapUsed: 182317600, heapTotal: 191426560, rss: 159526912, now: 1711317220497 }
{ heapUsed: 181781808, heapTotal: 190377984, rss: 158879744, now: 1711317225508 }
{ heapUsed: 181857296, heapTotal: 190377984, rss: 158949376, now: 1711317230519 }
{ heapUsed: 182024992, heapTotal: 190377984, rss: 159059968, now: 1711317235522 }
{ heapUsed: 182337504, heapTotal: 190377984, rss: 159191040, now: 1711317240532 }
{ heapUsed: 182539808, heapTotal: 190377984, rss: 159395840, now: 1711317245542 }
{ heapUsed: 182819784, heapTotal: 190377984, rss: 159559680, now: 1711317250559 }
{ heapUsed: 182980480, heapTotal: 190377984, rss: 159760384, now: 1711317255560 }
{ heapUsed: 183104008, heapTotal: 190377984, rss: 159870976, now: 1711317260572 }
{ heapUsed: 183286280, heapTotal: 190377984, rss: 159969280, now: 1711317265584 }
{ heapUsed: 183438072, heapTotal: 190377984, rss: 160108544, now: 1711317270592 }
{ heapUsed: 182809984, heapTotal: 190640128, rss: 159784960, now: 1711317275596 }
{ heapUsed: 182319472, heapTotal: 190640128, rss: 159096832, now: 1711317280611 }
{ heapUsed: 182472904, heapTotal: 190640128, rss: 159289344, now: 1711317285622 }
{ heapUsed: 182614040, heapTotal: 190640128, rss: 159625216, now: 1711317290634 }
