{ heapUsed: 166980088, heapTotal: 171134976, rss: 205381632, now: 1711317061295 }
{ heapUsed: 167197032, heapTotal: 171134976, rss: 205406208, now: 1711317066299 }
{ heapUsed: 167264032, heapTotal: 171134976, rss: 205406208, now: 1711317071308 }
{ heapUsed: 167299320, heapTotal: 171659264, rss: 205107200, now: 1711317076310 }
{ heapUsed: 167692960, heapTotal: 171659264, rss: 205529088, now: 1711317081318 }
{ heapUsed: 167376168, heapTotal: 172707840, rss: 206094336, now: 1711317086321 }
{ heapUsed: 167640376, heapTotal: 172707840, rss: 206405632, now: 1711317091327 }
{ heapUsed: 167925864, heapTotal: 172707840, rss: 206761984, now: 1711317096342 }
{ heapUsed: 167849088, heapTotal: 171921408, rss: 206217216, now: 1711317101355 }
{ heapUsed: 167944600, heapTotal: 172183552, rss: 206036992, now: 1711317106358 }
{ heapUsed: 168220872, heapTotal: 172183552, rss: 206323712, now: 1711317111369 }
{ heapUsed: 168585240, heapTotal: 172183552, rss: 206659584, now: 1711317116374 }
{ heapUsed: 168500976, heapTotal: 173756416, rss: 207454208, now: 1711317121384 }
{ heapUsed: 168836368, heapTotal: 173232128, rss: 207269888, now: 1711317126392 }
{ heapUsed: 169111712, heapTotal: 173232128, rss: 207294464, now: 1711317131395 }
{ heapUsed: 169155800, heapTotal: 173232128, rss: 207114240, now: 1711317136406 }
{ heapUsed: 169256992, heapTotal: 174804992, rss: 208089088, now: 1711317141410 }
{ heapUsed: 169529728, heapTotal: 174804992, rss: 208384000, now: 1711317146410 }
{ heapUsed: 169666408, heapTotal: 174804992, rss: 208539648, now: 1711317151419 }
{ heapUsed: 169637624, heapTotal: 173756416, rss: 208125952, now: 1711317156424 }
{ heapUsed: 169893152, heapTotal: 173756416, rss: 208166912, now: 1711317161433 }
{ heapUsed: 154366368, heapTotal: 174018560, rss: 214245376, now: 1711317166448 }
{ heapUsed: 153835632, heapTotal: 158552064, rss: 199118848, now: 1711317171457 }
{ heapUsed: 154025520, heapTotal: 158552064, rss: 199217152, now: 1711317176461 }
{ heapUsed: 154336664, heapTotal: 158552064, rss: 199245824, now: 1711317181462 }
{ heapUsed: 154179000, heapTotal: 158552064, rss: 198959104, now: 1711317186465 }
{ heapUsed: 154325728, heapTotal: 158552064, rss: 199114752, now: 1711317191471 }
{ heapUsed: 154292648, heapTotal: 158814208, rss: 199049216, now: 1711317196484 }
